Year,agri_gdp_billion_MAD,total_gdp_billion_MAD,agri_gdp_share_pct,agri_value_added_billion_USD,agri_investment_billion_MAD,agri_labor_force_millions,agri_labor_productivity_1000MAD_worker,fertilizer_use_kg_ha,tractor_density_per_1000ha,agri_credit_billion_MAD,rainfall_mm,temperature_anomaly_C,agri_subsidy_billion_MAD,agri_gdp_per_worker,agri_gdp_growth_rate,investment_intensity,tech_intensity
1990,39.378,517.365,7.611,4.135,7.879,3.983,9885.785,28.861,6.196,11.874,336.99,-0.03,0.0,9886.51770022596,,0.20008634262786326,178.822756
1991,46.895,540.115,8.682,4.924,8.747,4.116,11393.586,26.728,6.519,12.228,385.215,-0.12,0.0,11393.343051506317,19.089339224947956,0.18652308348438,174.239832
1992,50.142,566.894,8.845,5.265,7.835,3.994,12555.557,30.828,7.079,13.022,431.361,-0.207,0.0,12554.331497245868,6.923979102249711,0.15625623230026722,218.23141199999998
1993,48.407,576.444,8.398,5.083,9.12,3.935,12301.001,31.329,6.997,15.853,371.856,-0.126,0.0,12301.651842439644,-3.460173108372233,0.1884025037701159,219.209013
1994,46.666,621.686,7.506,4.9,10.302,4.076,11449.048,36.476,7.443,16.338,271.019,-0.112,0.0,11448.969578017666,-3.5965872704360913,0.22076029657566537,271.490868
1995,35.272,647.232,5.45,3.704,10.499,4.018,8778.849,34.589,7.875,17.122,196.844,-0.103,0.0,8778.496764559482,-24.416063086615523,0.2976581991381266,272.388375
1996,47.334,670.72,7.057,4.97,12.52,3.93,12045.154,39.504,8.78,19.483,333.877,-0.19,0.0,12044.274809160306,34.1970968473577,0.26450331685469214,346.84511999999995
1997,50.919,701.269,7.261,5.347,14.386,4.074,12500.013,36.001,9.563,22.44,376.323,-0.004,0.0,12498.527245949927,7.573836988211413,0.28252715096525854,344.277563
1998,61.047,726.963,8.398,6.41,12.775,3.904,15636.458,40.988,9.388,20.419,371.001,-0.048,0.0,15637.03893442623,19.89041418723856,0.20926499254672631,384.795344
1999,65.923,783.68,8.412,6.922,13.969,3.922,16810.024,42.275,9.965,23.135,444.71,-0.078,0.0,16808.516063233044,7.987288482644539,0.2118987303369082,421.270375
2000,58.313,783.291,7.445,6.123,15.96,3.921,14873.838,41.594,10.88,25.88,390.29,0.231,0.0,14871.971435858199,-11.543770762859696,0.2736954023974071,452.54272000000003
